iter	Passed	Remaining
260	2180	6174
261	2187	6162
262	2194	6149
263	2203	6141
264	2212	6135
265	2220	6128
266	2228	6116
267	2236	6109
268	2244	6100
269	2254	6094
270	2263	6089
271	2272	6082
272	2279	6071
273	2287	6060
274	2294	6049
275	2301	6036
276	2309	6026
277	2315	6014
278	2325	6008
279	2332	5998
280	2341	5992
281	2350	5985
282	2359	5978
283	2367	5968
284	2376	5961
285	2383	5949
286	2391	5941
287	2398	5930
288	2406	5921
289	2413	5909
290	2422	5902
291	2430	5892
292	2439	5886
293	2447	5877
294	2455	5867
295	2462	5856
296	2471	5850
297	2480	5842
298	2488	5834
299	2495	5823
300	2503	5813
301	2512	5806
302	2522	5801
303	2530	5794
304	2539	5787
305	2547	5776
306	2554	5766
307	2563	5758
308	2570	5749
309	2578	5739
310	2587	5731
311	2598	5730
312	2606	5720
313	2613	5709
314	2621	5700
315	2629	5692
316	2637	5683
317	2645	5673
318	2653	5663
319	2660	5653
320	2669	5647
321	2676	5635
322	2683	5625
323	2692	5616
324	2700	5608
325	2708	5599
326	2717	5593
327	2726	5585
328	2734	5577
329	2742	5567
330	2750	5558
331	2757	5548
332	2765	5539
333	2773	5530
334	2781	5521
335	2788	5510
336	2795	5499
337	2803	5490
338	2810	5479
339	2817	5469
340	2824	5458
341	2831	5448
342	2839	5438
343	2847	5430
344	2854	5419
345	2862	5409
346	2869	5400
347	2877	5390
348	2883	5379
349	2891	5370
350	2900	5362
351	2907	5352
352	2914	5342
353	2922	5333
354	2929	5322
355	2937	5314
356	2945	5305
357	2954	5298
358	2963	5290
359	2971	5282
360	2979	5274
361	2988	5266
362	2996	5257
363	3003	5248
364	3011	5238
365	3018	5229
366	3026	5220
367	3034	5211
368	3042	5202
369	3050	5193
370	3057	5183
371	3066	5176
372	3074	5167
373	3082	5158
374	3089	5148
375	3096	5138
376	3103	5128
377	3111	5119
378	3118	5109
379	3125	5100
380	3133	5090
381	3140	5080
382	3148	5071
383	3155	5062
384	3163	5053
385	3171	5044
386	3179	5036
387	3188	5028
388	3197	5022
389	3205	5013
390	3212	5003
391	3220	4994
392	3228	4986
393	3236	4977
394	3244	4970
395	3252	4961
396	3260	4952
397	3268	4943
398	3286	4950
399	3301	4952
400	3310	4945
401	3317	4935
402	3324	4924
403	3331	4914
404	3339	4906
405	3348	4898
406	3355	4888
407	3362	4878
408	3369	4869
409	3376	4858
410	3383	4849
411	3391	4839
412	3398	4830
